533980271;1;SW1;SW_SPST
12401610E4#2A;1;J1;USBC_Receptacle_SMD_RA
1N4448HLP-7;2;D9,D11;IN4448HLP
5002;7;TP30,TP34,TP39,TP40,TP41,TP42,TP43;TestPoint
8.85E+16;3;C84,C115,C118;10nF
AC0603JR-0710ML;1;R65;10M
AP2502KTR-G1;1;U7;AP2502KTR-G1
AP33771DKZ-13;1;U18;AP33771DKZ-13
AS2312;1;Q3;AS2312
B12H1NG--20D000134U1930;1;D5;LED-GREEN
B12H1USD-20D000234U1930;1;D1;LED-RED
B12H1UY--20D000134U1930;1;D3;LED-Amber
B12H1UYG-20D000134U1930;1;D2;LED-YG
B6B-ZR-SM4-TF;2;J3,J5;Conn_01x06_MountingPin
BQ27742YZFR-G1;1;U12;BQ27742YZFR-G1
BSS138;2;Q1,Q7;Q_NMOS_GDS
CL05A104KA5NNNC;39;C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C24,C32,C35,C36,C37,C38,C39,C40,C41,C44,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C70,C71,C72,C73,C85,C92,C102,C103,C104;0.1uF
CL10A225KP8NNNC;2;C28,C49;2.2uF
CL10B224KA8NNNC;2;C30,C31;0.22uF
CL10B474KO8NNNC;2;C26,C56;0.47uF
CL21A476MRYNNNE;1;C81;47uF
DRV8830DRCR;2;U8,U9;DRV8830DRCR
ECS-120-8-36-CKM-TR3;1;Y1;ECS-120-8-36-CKM-TR3
EFC8811R-TF;1;Q2;EFC8811R-TF
ERJ-3EKF6493V;2;R37,R39;649k
ERJ-3RQJR39V;2;R29,R30;0.39
ERJ-8CWJR010V;1;R51;10m
ERJ-PA3J201V;4;R43,R45,R103,R104;200
GCM155R71H152KA37D;1;C111;1.5nF
GCM155R71H332KA37J;2;C112,C122;3.3nF
GMC32X5R107M16NT;1;C137;100uF
GRM1555C1H270JA01J;6;C2,C3,C18,C19,C45,C46;27pF
GRM155R61E105KA12D;20;C4,C8,C10,C21,C22,C29,C55,C69,C88,C94,C95,C105,C126,C47,C48,C50,C51,C52,C53,C54;1uF
GRM155R62A104KE14D;5;C113,C114,C116,C119,C121;0.1uF
GRM155R71H223KA12J;3;C110,C117,C120;22nF
GRM155R71H473KE14D;2;C123,C128;47nF
GRM188R61A226ME15D;7;C1,C33,C34,C76,C78,C87,C93;22uF
GRM188R61E106KA73J;16;C17,C20,C25,C27,C42,C43,C67,C68,C75,C77,C80,C129,C130,C132,C134,C136;10uF
GRM188R61E475KE11D;5;C23,C124,C97,C100,C101;4.7uF
GRM31CD80J107MEA8K;6;C82,C83,C109,C125,C127,C131;100uF
IHLP2020BZERR47M01;2;L2,L4;0.47uH
JS202011JCQN;2;S3,S4;JS202011JCQN
LSF0102DCTR;1;U5;LSF0102DCTR
MAX77642ANA+;1;U14;MAX77642ANA+
MAX77857BEWB+;1;U6;MAX77857BEWB+
MAX77958EWV+T;1;U11;MAX77958EWV+T
MAX77976EFD+;1;U13;MAX77976EFD+
NCP3901FCCT1G;1;U4;NCP3901
NCU15WF104J6SRC;1;TH2;100k
NRS6028T1R5NMGJ;2;L1,L3;1.5uH
PA0805FRF470R005L;1;R44;5m
PH1-05-UA;1;J2;Conn_01x05
PTS815 SJM 250 SMTR LFS;1;S2;PTS815 SJM 250 SMTR LFS
RC0402FR-07220KL;1;R100;220k
RC0402FR-1310RL;6;R6,R7,R41,R42,R32,R33;10
RC0402FR-13150KL;1;R98;150k
RC0402FR-136K8L;1;R101;6.8k
RCUCTE;26;TP1,TP2,TP9,TP10,TP11,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP26,TP27,TP33,TP3,TP4,TP5,TP6,TP7,TP8,TP13,TP14,TP15;SMD_0603
RMCF0402FT80K6;1;R9;80.6k
RMCF0402JT27R0;2;R3,R4;27
RMCF0603FT113K;1;R53;113K
RMCF0603FT14K0;1;R55;14k
RMCF0603FT16K0;1;R62;16k
RMCF0603FT2K00;1;R48;2k
RMCF0603JT100R;7;R22,R23,R24,R25,R56,R58,R97;100
RMCF0603JT120K;2;R38,R40;120k
RMCF0603JT200K;2;R19,R36;200k
RMCF0603JT2K20;6;R14,R15,R20,R21,R34,R35;2.2k
RMCF0603JT47K0;2;R8,R18;47K
RMCF0603JT510K;1;R16;510k
RMCF0603JT5K10;2;R63,R64;5.1k
RMCF0603ZT0R00;17;R76,R79,R82,R83,R84,R85,R86,R87,R88,R90,R91,R92,R93,R94,R57,R75,R95;0
RMCF0805ZT0R00;13;R11,R52,R54,R67,R68,R69,R70,R71,R72,R77,R78,R73,R74;0
SC0914(13);1;U3;RP2040
SD2114S040S8R0;1;D7;D_Schottky
SMF13A;3;D4,D6,D10;SMF13A
SN74AHC125RGYR;2;Q5,Q6;SN74AHC125RGYR
STWLC38JRM;1;U1;STWLC38JRM
TPD1E05U06DPYR;10;U26,U27,U28,U29,U15,U19,U20,U21,U22,U23;TPD1E05U06
TPS22998RYZR;1;IC1;TPS22998RYZR
TPS61253AYFFT;1;U17;TPS61253AYFFT
TVS0500DRVR;2;U25,U24;TVS0500DRV
USB4151-GF-C;1;J4;USB4151-GF-C
W25Q128JVSIQ;1;U2;W25Q128JVS
WR04X102 JTL;5;R1,R5,R46,R47,R50;1k
WR06X1002FTL;4;R28,R31,R96,R102;10k
WR06X1003FTL;8;R17,R49,R59,R60,R61,R89,R99,R12;100k
YJL3416A;1;Q4;YJL3416A
fpf1048bucx;1;U16;fpf1048bucx
