Ref,Val,Package,PosX,PosY,Rot,Side
"S4","PTS815 SJM 250 SMTR LFS","SW4_PTS815 SJM 250 SMTR LFS_CNK",2.700000,58.825000,-90.000000,top
"TH2","100k","R_0402_1005Metric",54.450000,61.300000,90.000000,top
"TP1","TestPoint","KEYSTONE_5002",22.740000,67.460000,0.000000,top
"TP2","TestPoint","KEYSTONE_5002",75.550000,41.100000,0.000000,top
"TP3","SMD_0603","TestPoint_SMD_0603",2.150000,35.800000,90.000000,top
"TP4","SMD_0603","TestPoint_SMD_0603",2.150000,37.900000,90.000000,top
"TP5","SMD_0603","TestPoint_SMD_0603",78.000000,66.100000,0.000000,top
"TP6","SMD_0603","TestPoint_SMD_0603",75.650000,66.100000,0.000000,top
"TP7","SMD_0603","TestPoint_SMD_0603",2.150000,42.100000,90.000000,top
"TP8","SMD_0603","TestPoint_SMD_0603",2.150000,40.000000,-90.000000,top
"TP9","TestPoint","KEYSTONE_5002",56.800000,38.429505,0.000000,top
"TP10","TestPoint","KEYSTONE_5002",75.350000,27.100000,0.000000,top
"TP11","TestPoint","KEYSTONE_5002",4.400000,17.500000,0.000000,top
"TP12","TestPoint","KEYSTONE_5002",75.300000,31.900000,0.000000,top
"TP13","TestPoint","KEYSTONE_5002",59.900000,38.450000,0.000000,top
"TP14","SMD_0603","TestPoint_SMD_0603",37.890000,12.120000,0.000000,top
"TP15","SMD_0603","TestPoint_SMD_0603",42.500000,12.200000,0.000000,top
"TP16","SMD_0603","TestPoint_SMD_0603",33.050000,10.250000,0.000000,top
"TP17","SMD_0603","TestPoint_SMD_0603",40.550000,2.350000,0.000000,top
"TP18","SMD_0603","TestPoint_SMD_0603",33.050000,8.250000,0.000000,top
"TP19","SMD_0603","TestPoint_SMD_0603",78.000000,63.850000,180.000000,top
"TP20","SMD_0603","TestPoint_SMD_0603",75.650000,63.850000,180.000000,top
"TP21","SMD_0603","TestPoint_SMD_0603",58.900000,11.900000,0.000000,top
"TP22","SMD_0603","TestPoint_SMD_0603",22.130000,3.020000,180.000000,top
"TP23","SMD_0603","TestPoint_SMD_0603",77.800000,68.600000,0.000000,top
"TP24","SMD_0603","TestPoint_SMD_0603",75.700000,68.600000,0.000000,top
"TP25","SMD_0603","TestPoint_SMD_0603",68.400000,47.200000,90.000000,top
"TP26","TestPoint","THT_JumperLead",6.750000,61.100000,0.000000,top
"TP27","SMD_0603","TestPoint_SMD_0603",36.400000,28.200000,180.000000,top
"TP28","SMD_0603","TestPoint_SMD_0603",38.800000,28.200000,180.000000,top
"TP29","TestPoint","THT_JumperLead",27.750000,61.150000,0.000000,top
"TP31","SMD_0603","TestPoint_SMD_0603",2.650000,25.000000,-90.000000,top
"TP32","SMD_0603","TestPoint_SMD_0603",2.650000,27.150000,-90.000000,top
"TP33","SMD_0603","TestPoint_SMD_0603",23.030000,41.360000,180.000000,top
"TP34","SMD_0603","TestPoint_SMD_0603",20.800000,41.200000,180.000000,top
"TP35","SMD_0603","TestPoint_SMD_0603",12.300000,49.300000,90.000000,top
"TP36","SMD_0603","TestPoint_SMD_0603",13.400000,45.100000,90.000000,top
"U1","AP2502KTR-G1","SOT95P280X145-6N",26.310000,65.830000,90.000000,top
"U2","TPS63021DSJR","IC_TPS63021DSJR",68.720000,38.740000,180.000000,top
"U3","XC6206PxxxMR","SOT-23-3",73.590000,44.697500,-90.000000,top
"U4","TPD1E05U06","TPD1E05U06DPYR",38.300000,4.450000,-90.000000,top
"U5","TPD1E05U06","TPD1E05U06DPYR",41.650000,8.900000,0.000000,top
"U6","TVS0500DRV","TVS0500DRVR",36.550000,5.150000,90.000000,top
"U7","TPD1E05U06","TPD1E05U06DPYR",42.680000,6.430000,90.000000,top
"U8","TPD1E05U06","TPD1E05U06DPYR",38.430000,10.975000,180.000000,top
"U9","TPD1E05U06","TPD1E05U06DPYR",38.300000,8.900000,180.000000,top
"U10","TPD1E05U06","TPD1E05U06DPYR",41.710000,10.975000,0.000000,top
"U11","MAX77958EWV+T","MAX77958EWV&plus_T",53.150000,8.080000,-90.000000,top
"U12","TPS22950CDDCR","DDC6_TEX",29.180800,5.700001,0.000000,top
"U13","TPS61253AYFFT","Texas_Instruments-YFF0009-BGA9C40P3X3_119X129X62",25.250000,9.100000,180.000000,top
"U14","NCP3901","NCP3901",47.090000,51.044800,180.000000,top
"U16","TVS0500DRV","TVS0500DRVR",65.750000,47.150000,90.000000,top
"U20","AP33771DKZ-13","AP33771DKZ13",55.611892,46.441169,0.000000,top
"U21","LSF0102DCTR","SOP65P400X130-8N",37.542892,32.806669,90.000000,top
"U22","BQ27742YZFR-G1","Texas_Instruments-YZF0015-0-0-MFG",19.774800,47.496400,0.000000,top
"U23","MAX77857BEWB+","WLP-35_7x5_2.828x2.028mm",45.543892,32.743169,0.000000,top
"U24","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",8.289193,49.317569,90.000000,top
"U25","DRV8830DRCR","IC_DRV8830DRCR",45.100000,22.550000,0.000000,top
"U26","DRV8830DRCR","IC_DRV8830DRCR",34.850000,22.650000,180.000000,top
"U27","STWLC38JRM","BGA40C40P5X8_213X333X57",52.650000,59.910000,0.000000,top
"U28","MAX77976EFD+","MAX77976",34.430199,45.816400,0.000000,top
"U29","RP2040","RP2040-QFN-56",11.900400,36.243700,0.000000,top
"U30","TPS3808G01DBVR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",26.100000,35.850000,90.000000,top
"U31","TPS3808G01DBVR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",22.500000,36.050000,90.000000,top
"U32","MCP6541T-I/OT","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",74.500000,23.350000,0.000000,top
"U33","MAX6006AEUR+T","SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR",71.300000,24.300000,0.000000,top
"U34","MCP6541T-I/OT","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",75.600000,12.700000,90.000000,top
"Y1","ECS-120-8-36-CKM-TR3","XTAL_ECS-120-8-36-CKM-TR3",11.820000,29.120000,-90.000000,top
