Comment;Designator;Footprint;JLCPCB Part #?optional?
47nF;C88,C95;robot:C_0402_1005Metric;GRM155R71H473KE14D
10nF;C73,C79;robot:C_0402_1005Metric;8.85E+11
0.1uF;C70,C72,C76,C80,C84;robot:C_0402_1005Metric;GRM155R62A104KE14D
100uF;C69,C92,C94,C103,C116,C122;robot:C_1206_3216Metric,robot:C_1210_3225Metric;GRM31CD80J107MEA8K
3.3nF;C64,C85;robot:C_0402_1005Metric;GCM155R71H332KA37J
1.5nF;C63;robot:C_0402_1005Metric;GCM155R71H152KA37D
22nF;C62,C78,C81;robot:C_0402_1005Metric;GRM155R71H223KA12J
0.22uF;C46,C48;robot:C_0603_1608Metric;CL10B224KA8NNNC
0.47uF;C36,C40;robot:C_0603_1608Metric;CL10B474KO8NNNC
2.2uF;C15,C43;robot:C_0603_1608Metric;CL10A225KP8NNNC
27pF;C11,C12,C26,C27,C66,C67;robot:C_0402_1005Metric;GRM1555C1H270JA01J
4.7uF;C10,C21,C22,C25,C91;robot:C_0603_1608Metric;GRM188R61E475KE11D
1uF;C8,C9,C13,C14,C16,C17,C18,C19,C20,C23,C24,C32,C34,C41,C68,C93,C97,C112;robot:C_0402_1005Metric;GRM155R61E105KA12D
0.1uF;C4,C29,C30,C31,C33,C35,C37,C42,C44,C45,C47,C49,C50,C51,C53,C54,C71,C74,C75,C77,C82,C83,C89,C90,C96,C111,C115,C117,C119,C120,C123,C124,C125,C127,C128,C131,C136;robot:C_0402_1005Metric;CL05A104KA5NNNC
10uF;C2,C3,C28,C38,C39,C61,C65,C86,C87,C98,C99,C100,C102,C104,C108,C109,C114,C126;robot:C_0603_1608Metric;GRM188R61E106KA73J
22uF;C1,C5,C6,C7,C52,C55,C101,C105;robot:C_0603_1608Metric;GRM188R61A226ME15D
